0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:05:31 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:05:37 +0800] "GET /hello/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:05:46 +0800] "GET /hello/welcome HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:05:46 +0800] "GET /hello/js/welcome.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:05:46 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:05:53 +0800] "GET /hello/welcome.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:06:34 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:27 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:27 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:28 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:28 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:29 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:29 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:29 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:29 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:29 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:29 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:30 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [15/Apr/2016:20:23:30 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
