0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:26 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:26 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:26 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:26 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:26 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:26 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:26 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:26 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:27 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:28 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:28 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:28 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:28 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:28 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:28 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:35:28 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
